file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
0_agent_hv.csv,20,21,6.1,0.0,100.0,-2.51,False,14.13,2.32,0.0,7.65
10_agent_hv.csv,60,61,6.66,0.0,100.0,-1.57,False,14.52,2.18,0.0,5.22
17_agent_hv.csv,20,35,9.79,2.97,3.77,-0.45,False,23.88,2.44,9.42,3.17
17_agent_hv.csv,30,35,4.98,0.48,100.0,-2.39,False,20.4,4.1,3.17,6.58
1_agent_hv.csv,0,39,1.96,9.55,-1.07,3.59,False,12.58,6.43,8.66,0.91
1_agent_hv.csv,20,39,1.96,4.71,-0.48,2.02,False,3.79,1.93,6.66,1.41
1_agent_hv.csv,30,39,2.7,1.12,2.23,-1.46,False,2.39,0.88,3.75,3.36
25_agent_hv.csv,0,30,8.47,3.3,2.62,-0.56,False,23.37,2.76,12.81,3.88
25_agent_hv.csv,10,30,5.97,1.69,10.11,-1.18,False,20.15,3.38,8.25,4.89
25_agent_hv.csv,20,30,5.06,1.15,19.63,-1.09,False,16.8,3.32,4.12,3.58
26_agent_hv.csv,10,25,8.77,1.78,11.92,-0.82,False,23.69,2.7,8.05,4.51
26_agent_hv.csv,20,25,5.49,0.37,100.0,-2.15,False,20.38,3.71,2.35,6.34
29_agent_hv.csv,30,35,6.72,0.43,100.0,-1.62,False,14.01,2.08,2.5,5.8
34_agent_hv.csv,40,48,8.9,0.73,70.56,-1.17,False,20.48,2.3,4.17,5.69
35_agent_hv.csv,20,41,8.94,2.01,9.13,-1.24,False,23.8,2.66,14.43,7.18
35_agent_hv.csv,30,41,5.58,0.97,36.09,-2.18,False,20.55,3.68,7.17,7.36
35_agent_hv.csv,40,41,4.15,0.0,100.0,-3.65,False,16.66,4.01,0.0,7.57
37_agent_hv.csv,10,21,5.48,1.5,7.37,-0.62,False,11.42,2.08,3.51,2.34
39_agent_hv.csv,10,36,7.38,6.09,0.21,-0.05,False,22.31,3.02,6.74,1.11
39_agent_hv.csv,20,36,4.34,2.15,4.03,-0.55,False,18.44,4.25,5.09,2.36
39_agent_hv.csv,30,36,5.35,0.62,67.48,-1.11,False,14.67,2.74,2.1,3.35
3_agent_hv.csv,40,46,8.13,0.46,100.0,-1.32,False,24.39,3.0,2.59,5.67
45_agent_hv.csv,20,23,7.22,0.22,100.0,-1.57,False,24.08,3.34,1.26,5.83
46_agent_hv.csv,0,31,9.76,5.31,0.67,-0.2,False,20.59,2.11,11.54,2.17
46_agent_hv.csv,10,31,8.1,1.22,21.03,-1.3,False,18.42,2.27,7.56,6.2
46_agent_hv.csv,20,31,5.83,1.2,17.68,-0.91,False,16.03,2.75,3.99,3.34
46_agent_hv.csv,30,31,3.51,0.0,100.0,-2.37,False,12.64,3.6,0.0,4.15
48_agent_hv.csv,30,37,8.48,0.66,79.98,-1.25,False,18.89,2.23,3.82,5.74
49_agent_hv.csv,40,41,6.79,0.0,100.0,-1.7,False,19.55,2.88,0.0,5.79
4_agent_hv.csv,20,26,6.54,0.62,79.8,-0.91,False,16.95,2.59,2.04,3.28
50_agent_hv.csv,10,23,8.28,1.07,24.01,-1.42,False,15.78,1.91,7.25,6.76
50_agent_hv.csv,20,23,3.31,0.2,100.0,-3.26,False,12.69,3.84,1.16,5.74
53_agent_hv.csv,40,62,9.57,2.33,5.81,-0.64,False,20.86,2.18,9.42,4.05
53_agent_hv.csv,50,62,5.56,1.57,10.52,-0.98,False,18.07,3.25,5.98,3.8
53_agent_hv.csv,60,62,3.3,0.1,100.0,-3.75,False,14.21,4.31,0.65,6.38
54_agent_hv.csv,40,62,9.57,2.33,5.81,-0.64,False,20.86,2.18,9.42,4.05
54_agent_hv.csv,50,62,5.56,1.57,10.52,-0.98,False,18.07,3.25,5.98,3.8
54_agent_hv.csv,60,62,3.3,0.1,100.0,-3.75,False,14.21,4.31,0.65,6.38
55_agent_hv.csv,30,35,8.77,0.42,100.0,-1.8,False,27.85,3.18,3.48,8.29
5_agent_hv.csv,40,54,8.19,1.22,25.53,-1.04,False,22.33,2.73,6.07,4.98
5_agent_hv.csv,50,54,4.98,0.34,100.0,-1.74,False,18.98,3.81,1.61,4.66
60_agent_hv.csv,20,38,8.45,2.04,6.59,-1.48,False,18.09,2.14,16.81,8.23
60_agent_hv.csv,30,38,3.91,0.8,37.32,-3.82,False,15.01,3.84,7.48,9.39
7_agent_hv.csv,0,22,4.46,5.54,-0.34,0.17,False,21.71,4.87,8.78,1.59
7_agent_hv.csv,10,22,5.2,1.4,13.14,-1.11,False,17.62,3.39,5.51,3.94
7_agent_hv.csv,20,22,5.96,0.1,100.0,-1.83,False,14.84,2.49,0.57,5.56
8_agent_hv.csv,0,29,6.49,2.39,4.07,-1.16,False,18.42,2.84,14.29,5.98
